distillery_name,profile,brand_name,list_link,detail_link,title_tag,count,title_stat,stat
Ardbeg,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/ardbeg-scotch-whisky,peat,174,Average score,88.2
Ardbeg,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/ardbeg-scotch-whisky,peat,174,Ratings,"1,572"
Ardbeg,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/ardbeg-scotch-whisky,peat,174,Reviews,479
Ardbeg,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/ardbeg-scotch-whisky,peat,174,Likes,11
Ardbeg,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/ardbeg-scotch-whisky,smoke,156,Average score,88.2
Ardbeg,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/ardbeg-scotch-whisky,smoke,156,Ratings,"1,572"
Ardbeg,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/ardbeg-scotch-whisky,smoke,156,Reviews,479
Ardbeg,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/ardbeg-scotch-whisky,smoke,156,Likes,11
Ardbeg,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/ardbeg-scotch-whisky,vanilla,60,Average score,88.2
Ardbeg,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/ardbeg-scotch-whisky,vanilla,60,Ratings,"1,572"
Ardbeg,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/ardbeg-scotch-whisky,vanilla,60,Reviews,479
Ardbeg,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/ardbeg-scotch-whisky,vanilla,60,Likes,11
Ardbeg,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/ardbeg-scotch-whisky,salt,50,Average score,88.2
Ardbeg,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/ardbeg-scotch-whisky,salt,50,Ratings,"1,572"
Ardbeg,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/ardbeg-scotch-whisky,salt,50,Reviews,479
Ardbeg,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/ardbeg-scotch-whisky,salt,50,Likes,11
Ardbeg,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/ardbeg-scotch-whisky,citrus,43,Average score,88.2
Ardbeg,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/ardbeg-scotch-whisky,citrus,43,Ratings,"1,572"
Ardbeg,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/ardbeg-scotch-whisky,citrus,43,Reviews,479
Ardbeg,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/ardbeg-scotch-whisky,citrus,43,Likes,11
